"","branch_type","branch_name","branch_address","branch_city","branch_state","branch_zip"
"1","Sucursal","boston branch","50 ROWES WHARF, FLOOR 4","Suffolk","MA",2110
"2","Sucursal","milford (ford street) branch","370 BOSTON POST ROAD","New Haven","CT",6460
"3","Sucursal","milford banking center branch","1651 BOSTON POST ROAD","","CT",6460
"4","Sucursal","monroe ct branch","456 MONROE TURNPIKE","Fairfield","CT",6468
"5","Sucursal","newtown branch","30 CHURCH HILL ROAD","Fairfield","CT",6470
"6","Sucursal","boston post road & racebrook banking center","262 BOSTON POST ROAD","New Haven","CT",6477
"7","Sucursal","shelton branch","675 BRIDGEPORT AVENUE","Fairfield","CT",6484
"8","Sucursal","southbury green banking ctr branch","775 MAIN STREET SOUTH","New Haven","CT",6488
"9","Sucursal","new haven church street branch","234 CHURCH STREET","New Haven","CT",6510
"10","Sucursal","woodbridge amity rte 15 branch","149 AMITY ROAD","New Haven","CT",6515
"11","Sucursal","bridgeport west side branch","1460 STATE STREET","Fairfield","CT",3324125
"12","Sucursal","bridgeport north end branch","2125 MAIN STREET","Fairfield","CT",NA
"13","Sucursal","bridgeport boston avenue branch","123 BOSTON AVENUE","Fairfield","CT",6610
"14","Sucursal","trumbull quality street branch","80 QUALITY STREET, TOWN HALL SC","Fairfield","CT",6611
"15","Sucursal","trumbull center banking center branch","958 WHITE PLAINS ROAD","","CT",6611
"16","Sucursal","stratford barnum avenue branch","2855 MAIN STREET","Fairfield","CT",6614
"17","Sucursal","bethel library place bnkg ctr branch","9 DURANT AVE","Fairfield","CT",6801
"18","Sucursal","cos cob banking center branch","371 EAST PUTNAM AVENUE","Fairfield","CT",6807
"19","Sucursal","stony hill branch","111 NEWTON ROAD","Fairfield","CT",6810
"20","Sucursal","danbury shoprite branch","1-A PADANARAMA ROAD, NORTH STREET SC","Fairfield","CT",6811
"21","Sucursal","danbury lake ave branch","42 LAKE AVE EXT","","CT",6811
"22","Sucursal","federal road danbury","99 FEDERAL ROAD","","CT",6811
"23","Sucursal","darien branch","454 POST ROAD","Fairfield","CT",6820
"24","Sucursal","noroton heights banking ctr branch","165 NOROTON AVENUE","Fairfield","CT",6820
"25","Sucursal","fairfield center branch","1401 POST ROAD","Fairfield","CT",6824
"26","Sucursal","greenfield hill branch","161 HILLSIDE ROAD","Fairfield","CT",6824
"27","Sucursal","fairfield kings crossing bnk ctr branch","340 GRASMERE AVENUE","Fairfield","CT",6824
"28","Sucursal","fairfield woods branch","2272 BLACK ROCK TURNPIKE","Fairfield","",6825
"29","Sucursal","greenwich financial center branch","3A PICKWICK PLAZA","Fairfield","",6830
"30","Sucursal","mason street private banking branch","191 MASON STREET, ELM STREET","Fairfield","",6830
"31","Sucursal","greenwich avenue branch","197 GREENWICH AVENUE","","",6830
"32","Sucursal","west putnam and valley branch","500 WEST PUTNAM AVENUE","","",6830
"33","Sucursal","greenwich deerfield branch","111 W PUTNAM AVE","","",6830
"34","Sucursal","glenville branch","21 GLENVILLE STREET","","",6831
"35","Sucursal","banksville branch","1073 NORTH STREET","","",6831
"36","Sucursal","new canaan branch","21 EAST AVENUE","Fairfield","",6840
"37","Sucursal","new canaan drive-in branch","21 EAST AVENUE","Fairfield","",6840
"38","Sucursal","norwalk waypointe branch","515 WEST AVENUE","Fairfield","",6850
"39","Sucursal","south norwalk branch","50 WASHINGTON STREET","Fairfield","",6854
"40","Sucursal","greenwich branch","260 SOUND BEACH AVENUE","Fairfield","CT",6870
"41","Sucursal","ridgefield branch","92-98 GROVE STREET","Fairfield","CT",6877
"42","Sucursal","riverside branch","1150 EAST PUTNAM AVENUE","Fairfield","CT",6878
"43","Sucursal","westport main street branch","184 MAIN STREET","Fairfield","CT",6880
"44","Sucursal","greens farms branch","1090 POST ROAD EAST","","CT",6880
"45","Sucursal","southport branch","292 PEQUOT AVENUE","Fairfield","CT",6890
"46","Sucursal","south wilton branch","34 DANBURY ROAD","Fairfield","CT",6897
"47","Sucursal","wilton center branch","33 OLD RIDGEFIELD ROAD","","CT",6897
"48","Sucursal","georgetown danbury road banking center","920 DANBURY ROAD","","CT",6897
"49","Sucursal","stamford prospect street branch","45 PROSPECT STREET","Fairfield","CT",6901
"50","Sucursal","high ridge road branch","1037 HIGH RIDGE ROAD","","CT",6905
"51","Sucursal","stamford newfield avenue branch","559 NEWFIELD AVENUE","Fairfield","CT",6905
"52","Sucursal","avenel branch","1342 ST. GEORGES AVENUE","Middlesex","NJ",7001
"53","Sucursal","bayonne 20th st branch","439 BROADWAY","","NJ",7002
"54","Sucursal","bayonne 30th st branch","650 BROADWAY","Hudson","NJ",7002
"55","Sucursal","fairfield corp ctr middle mkt branch","695 ROUTE 46 WEST","","NJ",7004
"56","Sucursal","fairfield passaic branch","387 PASSAIC AVENUE","Essex","NJ",7004
"57","Sucursal","boonton branch","530 MYRTLE AVENUE, A&P","","NJ",7005
"58","Sucursal","boonton monroe branch","100 MONROE STREET","Morris","NJ",NA
"59","Sucursal","west caldwell branch","865 BLOOMFIELD AVENUE","Essex","nj",3324125
"60","Sucursal","cedar grove pompton branch","664 POMPTON AVENUE","Essex","nj",3324125
"61","Sucursal","clifton branch","1459 MAIN AVENUE","Passaic","nj",NA
"62","Sucursal","clifton van houten branch","963 VAN HOUTEN AVENUE","Passaic","nj",7013
"63","Sucursal","cranford banking center branch","40 SOUTH AVENUE WEST","Union","nj",7016
"64","Sucursal","edgewater branch","725 RIVER ROAD","Bergen","nj",7020
"65","Sucursal","river rd and tower dr branch","950 RIVER ROAD","Bergen","nj",7020
"66","Sucursal","fairview branch","153 BERGEN BLVD","Bergen","nj",7022
"67","Sucursal","fort lee branch","188-190 MAIN STREET","Bergen","nj",7024
"68","Sucursal","garfield branch","136 PASSAIC STREET","Bergen","nj",7026
"69","Sucursal","hoboken branch","125 RIVER STREET","Hudson","nj",7030
"70","Sucursal","hoboken 14th st and garden branch","200 14TH STREET","Hudson","nj",7030
"71","Sucursal","north arlington branch","23 RIDGE ROAD","Bergen","nj",7031
"72","Sucursal","kearny banking center branch","272 KEARNY AVAENUE","Hudson","nj",7032
"73","Sucursal","kearny ave branch","11 KEARNY AVENUE","Hudson","nj",7032
"74","Sucursal","lake hiawatha branch","53 NORTH BEVERWYCK ROAD","Morris","nj",7034
"75","Sucursal","linden branch","235 NORTH WOOD AVENUE","Union","NJ",7036
"76","Sucursal","livingston banking center branch","56 WEST MOUNT PLEASANT AVENUE","Essex","NJ",7039
"77","Sucursal","millburn banking center branch","279 MILLBURN AVENUE","Essex","NJ",7041
"78","Sucursal","millburn driveup branch","281 MILLBURN AVENUE","","NJ",7041
"79","Sucursal","montclair branch","19 NORTH FULLERTON AVENUE","","NJ",7042
"80","Sucursal","watchung plaza branch","17 WATCHUNG PLAZA","","NJ",7042
"81","Sucursal","montclair - private banking branch","483 BLOOMFIELD AVENUE","","NJ",7042
"82","Sucursal","montclair drive-in branch","19 NORTH FULLERTON AVENUE","Essex","NJ",7042
"83","Sucursal","upper montclair branch","580 VALLEY ROAD","Essex","NJ",7043
"84","Sucursal","upper montclair drive-in branch","580 VALLEY ROAD","Essex","NJ",7043
"85","Sucursal","verona branch","566 BLOOMFIELD AVENUE","Essex","NJ",NA
"86","Sucursal","verona pompton branch","30 POMPTON AND CLAREMONT AVENUE","Essex","NJ",NA
"87","Sucursal","north bergen branch","8101 TONNELLE AVENUE","Hudson","NJ",7047
"88","Sucursal","orange - main street branch","300 MAIN STREET","Essex","NJ",7050
"89","Sucursal","parsippany road branch","100 PARSIPPANY ROAD","Morris","NJ",7054
"90","Sucursal","passaic - main avenue branch","620 MAIN AVENUE","Passaic","NJ",7055
"91","Sucursal","wallington branch","93 MAIN AVENUE","Bergen","NJ",7057
"92","Sucursal","mount pleasant branch","2 MOUNT PLEASANT AVENUE","","NJ",7057
"93","Sucursal","warren mt bethel rd branch","9 MOUNT BETHEL RD, STE 211","Somerset","NJ",7059
"94","Sucursal","plainfield banking center branch","200 WEST 2ND STREET","Union","NJ",7060
"95","Sucursal","roseland branch","28 EISENHOWER PARKWAY","Essex","NJ",7068
"96","Sucursal","watchung branch","1605 US HWY 22","Somerset","NJ",7069
"97","Sucursal","watching circle banking ctr branch","60 STIRLING ROAD","Somerset","NJ",7069
"98","Sucursal","rutherford branch","24 PARK AVENUE","Bergen","NJ",7070
"99","Sucursal","ridge branch","301 RIDGE ROAD","Bergen","NJ",7071
"100","Sucursal","east rutherford branch","90 HACKENSACK STREET","Bergen","NJ",7073
"101","Sucursal","short hills branch","800 MORRIS TURNPIKE","Essex","NJ",7078
"102","Sucursal","south orange branch","18 S. ORANGE AVENUE","Essex","NJ",7079
"103","Sucursal","south plainfield banking ctr branch","5201 STELTON ROAD","Middlesex","NJ",7080
"104","Sucursal","union stuyvesant branch","1224 STUYVESANT AVE","Union","NJ",7083
"105","Sucursal","union city branch","3196 KENNEDY BOULEVARD, KENNEDY CENTER","Hudson","NJ",7087
"106","Sucursal","westfield branch","302 EAST BROAD STREET","Union","NJ",7090
"107","Sucursal","bergenline branch","4921 BERGENLINE AVENUE","Hudson","NJ",7093
"108","Sucursal","harmon tower branch","1 HARMON PLAZA","","NJ",7094
"109","Sucursal","harmon meadow branch","450 PLAZA DRIVE","Hudson","NJ",7094
"110","Sucursal","woodbridge shopping center branch","877 SAINT GEORGE AVENUE","Middlesex","NJ",7095
"111","Sucursal","newark branch","744 BROAD STREET","Essex","NJ",7102
"112","Sucursal","newark - broad & fulton branch","570 BROAD STREET","Essex","NJ",7102
"113","Sucursal","belleville franklin street branch","181 FRANKLIN STREET","Essex","NJ",7109
"114","Sucursal","nutley center st branch","351 CENTRE ST.","Essex","NJ",7110
"115","Sucursal","roselle branch","700 EAST 1ST AVENUE","Union","NJ",7203
"116","Sucursal","hillside branch","1152 LIBERTY AVENUE","Union","NJ",7205
"117","Sucursal","elizabeth north broad banking ctr branch","339 NORTH BROAD STREET","Union","NJ",7208
"118","Sucursal","christopher columbus branch","56 CHRISTOPHER COLUMBUS DR","Hudson","NJ",7302
"119","Sucursal","journal square branch","2 JOURNAL SQUARE PLZ","Hudson","NJ",7306
"120","Sucursal","the heights branch","374 CENTRAL AVENUE","Hudson","NJ",7307
"121","Sucursal","newport center branch","575 WASHINGTON BOULEVARD","Hudson","NJ",7310
"122","Sucursal","custodial trust company branch","575 WASHINGTON BOULEVARD","Hudson","nj",7310
"123","Sucursal","elmwood park branch","179 MARKET STREET","Bergen","nj",7407
"124","Sucursal","route 4 elmwood park branch","100 BROADWAY (ELMWOOD PK)","Bergen","nj",7407
"125","Sucursal","fair lawn branch","13-51 RIVER ROAD","Bergen","nj",7410
"126","Sucursal","broadway fairlawn branch","27-02 BROADWAY","Bergen","nj",7410
"127","Sucursal","radburn branch","21-01 FAIR LAWN AVENUE","Bergen","nj",7410
"128","Sucursal","franklin branch","300 STATE ROUTE 23","Sussex","nj",7416
"129","Sucursal","becton dickinson corporate branch","1 BECTON DRIVE","","nj",7417
"130","Sucursal","franklin lakes branch","845 FRANKLIN LAKES ROAD","","nj",7417
"131","Sucursal","woodland park branch","989 MCBRIDE AVENUE","Passaic","nj",7424
"132","Sucursal","midland park branch","129 GODWIN AVENUE","Bergen","nj",7432
"133","Sucursal","oakland ramapo valley rd branch","345 RAMAPO VALLEY ROAD","Bergen","nj",7436
"134","Sucursal","jefferson township branch","5742 BERKSHIRE VALLEY ROAD","Morris","nj",7438
"135","Sucursal","mahwah banking center branch","555 NORTH FRANKLIN TURNPIKE","Bergen","nj",7446
"136","Sucursal","ramsey north spruce branch","18 NORTH SPRUCE ST","Bergen","nj",7446
"137","Sucursal","ridgewood branch","84 EAST RIDGEWOOD AVENUE EAST","Bergen","nj",7450
"138","Sucursal","godwin avenue branch","67 GODWIN AVENUE","Bergen","nj",7450
"139","Sucursal","riverdale branch","20 HAMBURG TURNPIKE","Morris","nj",NA
"140","Sucursal","sussex branch","59 MAIN STREET","Sussex","nj",7461
"141","Sucursal","wantage branch","295 ROUTE 23","Sussex","nj",7461
"142","Sucursal","vernon rt 515 branch","550 COUNTY ROAD 515","Sussex","nj",7462
"143","Sucursal","wayne valley road branch","1401 VALLEY ROAD","Passaic","NJ",7470
"144","Sucursal","wyckoff branch","525 CEDAR HILL AVENUE","Bergen","NJ",7481
"145","Sucursal","paterson branch","1117 MAIN ST #19","Passaic","NJ",7503
"146","Sucursal","patterson market branch","148 MARKET STREET","","NJ",7505
"147","Sucursal","hawthorne branch","331 LAFAYETTE AVENUE","Passaic","NJ",7506
"148","Sucursal","haledon branch","396 HALEDON AVENUE","Passaic","NJ",7508
"149","Sucursal","totowa union blvd branch","169 UNION BLVD","Passaic","NJ",7512
"150","Sucursal","hackensack branch","505 MAIN STREET","Bergen","NJ",7601
"151","Sucursal","riverfront plaza branch","500 S. RIVER STREET","Bergen","NJ",7601
"152","Sucursal","bergen mall branch","177 W SPRING VALLEY AVE","Bergen","NJ",7607
"153","Sucursal","bergenfield branch","221 NORTH WASHINGTON AVENUE","Bergen","NJ",7621
"154","Sucursal","englewood branch","55 WEST PALISADES AVENUE","Bergen","NJ",7631
"155","Sucursal","englewood branch","50 GRAND AVENUE","Bergen","NJ",7631
"156","Sucursal","haworth branch","139 TERRACE STREET","Bergen","NJ",7641
"157","Sucursal","essex street branch","370 ESSEX STREET","Bergen","NJ",7644
"158","Sucursal","montvale banking center branch","22A CHESTNUT RIDGE ROAD","Bergen","NJ",7645
"159","Sucursal","new milford - river road branch","830 RIVER ROAD","Bergen","NJ",7646
"160","Sucursal","northvale banking center branch","271 LIVINGSTON STREET, SUITE A","Bergen","NJ",7647
"161","Sucursal","norwood broadway branch","588 BROADWAY AND LIVINGSTON STREET","Bergen","NJ",7648
"162","Sucursal","oradell branch","417 KINDERKAMACK ROAD","Bergen","NJ",7649
"163","Sucursal","palisades park branch","460 BERGEN BOULEVARD","Bergen","NJ",7650
"164","Sucursal","midland avenue branch","36 EAST MIDLAND AVENUE","Bergen","NJ",7652
"165","Sucursal","paramus - private banking branch","36 MIDLAND AVENUE EAST","","NJ",7652
"166","Sucursal","paramus branch","312 FOREST AVENUE","","NJ",7652
"167","Sucursal","park ridge ridgemont branch","169 KINDERKAMACK ROAD","Bergen","NJ",7656
"168","Sucursal","boulevard branch","504 BERGEN BOULEVARD","Bergen","NJ",7657
"169","Sucursal","river edge branch","686 KINDERKAMACK ROAD","Bergen","NJ",7661
"170","Sucursal","saddle brook branch","289 MARKET STREET","Bergen","NJ",7662
"171","Sucursal","the plaza branch","170 THE PLAZA","Bergen","NJ",7666
"172","Sucursal","cedar lane branch","205 CEDAR LANE","Bergen","NJ",7666
"173","Sucursal","teaneck banking center branch","627 CEDAR LANE","Bergen","NJ",7666
"174","Sucursal","tenafly banking center branch","115 COUNTY ROAD","Bergen","NJ",7670
"175","Sucursal","westwood branch","499 BROADWAY","Bergen","NJ",7675
"176","Sucursal","old tappan branch","216 OLD TAPPAN ROAD","Bergen","NJ",7675
"177","Sucursal","red bank branch","32 BROAD STREET","Monmouth","NJ",7701
"178","Sucursal","north red bank banking center branch","430 STATE ROUTE 35","Monmouth","NJ",7701
"179","Sucursal","shrewsbury branch","1150 BROAD STREET","Monmouth","NJ",7702
"180","Sucursal","new bedford branch","2601 STATE ROUTE 138","Monmouth","NJ",7719
"181","Sucursal","bradley beach branch","500 MAIN STREET","Monmouth","NJ",7720
"182","Sucursal","colts neck banking center branch","290 STATE ROUTE 34","Monmouth","NJ",7722
"183","Sucursal","deal branch","50 ATLANTIC AVE.","Monmouth","NJ",7723
"184","Sucursal","marlboro plaza branch","146 US HWY 9","Monmouth","NJ",7726
"185","Sucursal","towne pointe center branch","357 NEW JERSEY HWY 9 S, STE 1","Monmouth","NJ",7726
"186","Sucursal","freehold branch","61 WEST MAIN STREET","Monmouth","NJ",NA
"187","Sucursal","west freehold branch","302 W MAIN ST","Monmouth","NJ",NA
"188","Sucursal","east manalanpan bnkg ctr branch","4413 US HIGHWAY 9","Monmouth","NJ",7728
"189","Sucursal","hazlet branch","2983 ST RTE 35","Monmouth","NJ",7730
"190","Sucursal","north howell banking center branch","1998 US HIGHWAY 9","Monmouth","NJ",7731
"191","Sucursal","long branch banking center branch","160 BRIGHTON AVENUE","Monmouth","NJ",7740
"192","Sucursal","aberdeen shoprite branch","318 LLOYD ROAD","Monmouth","NJ",7747
"193","Sucursal","middletown shoprite branch","1361 ST RTE 35, STE 1","Monmouth","NJ",7748
"194","Sucursal","neptune banking center branch","3550 ROUTE 66","Monmouth","NJ",7753
"195","Sucursal","spring lake branch","1310 THIRD AVENUE","Monmouth","NJ",7762
"196","Sucursal","dover branch","1 EAST CLINTON STREET","Morris","NJ",7801
"197","Sucursal","montague branch","14 ROUTE 23","Sussex","NJ",7827
"198","Sucursal","denville branch","57 DIAMOND SPRING RD","Morris","NJ",7834
"199","Sucursal","hackettstown branch","227 MOUNTAIN AVENUE","Warren","NJ",7840
"200","Sucursal","lake hopatcong branch","15 BOWLING GREEN PARKWAY","Morris","NJ",7849
"201","Sucursal","roxbury branch","1250 NEW JERSEY HIGHWAY 46","Morris","NJ",7852
"202","Sucursal","andover branch","241 NEWTON-SPARTA ROAD","Sussex","NJ",7860
"203","Sucursal","hampton rt 206 branch","120 HAMPTON HOUSE ROAD","Sussex","NJ",7860
"204","Sucursal","rockaway branch","16 GREEN POND ROAD","Morris","NJ",7866
"205","Sucursal","randolph rt 10 branch","80 DOVER CHESTER ROAD","Morris","NJ",7869
"206","Sucursal","mount freedom sussex branch","1199 SUSSEX TURNPIKE","","NJ",7869
"207","Sucursal","sparta branch","27 SPARTA AVENUE","Sussex","NJ",7871
"208","Sucursal","summit branch","67-69 SUMMIT AVENUE","Union","NJ",7901
"209","Sucursal","pluckemin banking center branch","215 US HWY 202 206","Somerset","NJ",7921
"210","Sucursal","bedminster branch","2484 LAMINGTON ROAD","Somerset","NJ",7921
"211","Sucursal","berkeley heights branch","96 SNYDER AVENUE","Union","NJ",7922
"212","Sucursal","bernardsville branch","54 MORRISTOWN ROAD","Somerset","NJ",7924
"213","Sucursal","chatham banking center branch","215 MAIN STREET","Morris","NJ",7928
"214","Sucursal","chester and east main street branch","44 MAIN STREET","Morris","NJ",7930
"215","Sucursal","florham park branch","186 RIDGEDALE AVENUE","Morris","NJ",7932
"216","Sucursal","florham park branch","77 HANOVER ROAD","Morris","NJ",7932
"217","Sucursal","east hanover branch","399 RIDGEDALE AVENUE","Morris","NJ",7936
"218","Sucursal","madison waverly branch","2 WAVERLY PLACE","Morris","NJ",7940
"219","Sucursal","morris plains branch","599 SPEEDWELL AVENUE","","NJ",7950
"220","Sucursal","morris plains - route 10 branch","1711 STAR ROUTE 10","Morris","NJ",7950
"221","Sucursal","south street branch","225 SOUTH STREET","Morris","NJ",7960
"222","Sucursal","morristown - private banking branch","225 SOUTH STREET","","NJ",7960
"223","Sucursal","new vernon branch","15 VILLAGE ROAD","Morris","NJ",7976
"224","Sucursal","stirling branch","1300 VALLEY ROAD","Morris","NJ",7980
"225","Sucursal","whippany village banking center branch","480 STATE ROUTE 10","Morris","NJ",7981
"226","Sucursal","doc cramer boulevard branch","447 MARTIN TRUEX JR BOULEVARD","Ocean","NJ",8050
"227","Sucursal","east windsor banking center branch","392 NEW JERSEY HWY 130","Mercer","NJ",8520
"228","Sucursal","jackson banking center branch","332 NORTH COUNTY LINE ROAD","Ocean","NJ",8527
"229","Sucursal","hopewell banking center branch","795 DENOW ROAD","Mercer","NJ",8534
"230","Sucursal","princeton branch","16 NASSAU STREET","Mercer","NJ",8542
"231","Sucursal","west windsor branch","63 PRINCETON HIGHTSTOWN RD","Mercer","NJ",8550
"232","Sucursal","trenton south broad street branch","2735 SOUTH BROAD STREET, SUITE 3","","NJ",8610
"233","Sucursal","TRENTON ROEBLING MARKET BANKING CENTER BRANCH","635 SOUTH CLINTON AVENUE","Mercer","NJ",8611
"234","Sucursal","EWING BRANCH","1852 N OLDEN AVE","Mercer","NJ",8638
"235","Sucursal","LAWRENCEVILLE SHOPRITE BRANCH","3373 RTE 1","Mercer","NJ",NA
"236","Sucursal","HAMILTON SQUARE BANKING CTR BRANCH","955 HIGHWAY 33","Mercer","NJ",8690
"237","Sucursal","HAMILTON MARKETPLACE BRANCH","525 MARKET PLACE BOULEVARD","Mercer","NJ",8691
"238","Sucursal","LAKEWOOD BRANCH","75 EAST KENNEDY BOULEVARD","Ocean","NJ",8701
"239","Sucursal","LAKEWOOD PLAZA BRANCH","1700 MADISON AVENUE","Ocean","NJ",8701
"240","Sucursal","MARKET PLACE AT BRICK BRANCH","499 ROUTE 70","Ocean","NJ",8723
"241","Sucursal","FORKED RIVER BANKING CENTER","744 LACEY ROAD","Ocean","NJ",8731
"242","Sucursal","MANASQUAN BRANCH","2500 ROUTE 35","Monmouth","NJ",8736
"243","Sucursal","TOMS RIVER BRANCH","24 MAIN STREET","Ocean","NJ",8753
"244","Sucursal","MANCHESTER PLAZA BRANCH","1059 RTE 70","Ocean","NJ",8759
"245","Sucursal","BOUND BROOK BRANCH","427 W UNION AVE","Somerset","NJ",8805
"246","Sucursal","EAST BRUNSWICK BANKING CENTER BRANCH","629 ROUTE 18","Middlesex","NJ",8816
